Continent,Country,City,Name,Firm,Amenities,Price,Rating,Review
Europe,Spain,Balearic Islands,Jazmin Apartments,,"Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Restaurant,Children Activities (Kid / Family Friendly),Laundry service,",,2.5,"Hice la reserva 2 meses antes de ir. Hable con Khaled que era la persona que me lo alquiló y me dijo que todo Ok. Cuando llegamos me dijo que 4 dias despues teniamos que cambiar de apartamento porque habia habido un cruce de reservas. Soy una persona tranquila y conformista y despues de decirle que no me parecia serio ni formal acepté por no discutir. A las 10 de la mañana se presentó en el apartamento una alemana que ni hablaba ni entendia español para que hicieramos el cambio al apartamento de al lado (303). El nuevo apartamento era exactamente igual al anterior con la diferencia de que la ducha no funcionaba, al a/a no enfriaba, la presion del agua era floja, la manilla de la puerta de la terraza estaba rota, el foco de la luz del baño estaba colgando, las cortinas estaban"
Europe,Spain,Balearic Islands,Hotel Marbel,,"Free High Speed Internet (WiFi),Pool,Bar / lounge,Horseback riding,Babysitting,Children Activities (Kid / Family Friendly),Airport transportation,Massage,WifiOutdoor poolRestaurantSnack barShuttle bus serviceCar hireSolariumBBQ facilitiesBaggage storageSun terrace24-hour front deskPrivate check-in / check-out,Wifi,Outdoor pool,Restaurant,Snack bar,Shuttle bus service,Car hire,Solarium,BBQ facilities,Baggage storage,Sun terrace,24-hour front desk,Private check-in / check-out",,4.0,"The hotel is average and we found everything clean enough,we had breakfast and evening meal in our Hotel price and found the breakfast to be just about to our taste as long as you can live on cereals ,fried eggs ,baked beans and toast all the rest was cold meats but the evening meals were the big let down as it was mainly cold food and if there was any hot food stuff it was warm at best ,on the last night the first bite of my diced warmish potato made me scrap it all into the rubbish bin,other people from the UK said they thought the food was bad perhaps its more to the Europeans taste.The hotel buisness card said it did different bookings like bed breakfast to all inclusive so take my advice go for breakfast only or even room only if they will do that,Apart from the food"
Europe,Spain,Balearic Islands,MLL Mediterranean Bay Hotel,,"Free public parking nearby,Free High Speed Internet (WiFi),Pool,Sauna,Free breakfast,Hiking,Horseback riding,Meeting rooms,WifiRooftop poolPool with viewAdult poolOutdoor poolPlunge poolShallow end in poolBar / loungeRestaurantBreakfast availableBreakfast buffetWine / champagneVending machinePoolside barBicycle toursCanoeing offsiteFax / photocopyingSteam roomAdults onlyRooftop terraceBaggage storageNewspaperOutdoor furnitureSun deckATM on site24-hour front deskExpress check-in / check-out,Wifi,Rooftop pool,Pool with view,Adult pool,Outdoor pool,Plunge pool,Shallow end in pool,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Wine / champagne,Vending machine,Poolside bar,Bicycle tours,Canoeing offsite,Fax / photocopying,Steam room,Adults only,Rooftop terrace,Baggage storage,Newspaper,Outdoor furniture,Sun deck,ATM on site,24-hour front desk,Express check-in / check-out",,4.0,We book as our 1st holiday has a couple. Will be remembered for the wrong reasons. 1st the good points its clean. And they changed our room to one with a double a few days after we started.  And they made our room look lovely for my partner's birthday. Now the worse. Food was under cooked  and cold  ppl were lining up to use the microwave. The food had no taste. Was told to complain to manager and showed him a picture of the raw chicken I was served he said nothing could be done about the food.  We ending up eating out every day. Thd best meal was breakfast.  We were one of the few who paid all inclusive.  When going to the bar to get drinks we were ignored for ppl buying there drinks. We didnt use the pool was closed due to the time of year. We are a young couple we were the
Europe,Spain,Balearic Islands,Dolce Vita,Trip.com,,,4.5,"FANTASTIC. Stayed in an Upstairs apartment. What a view from the balcony 😎. The location is unbelievable. Stroll to the sea a few yards away, swim in the hotel pool, dine at the hotel restaurant overlooking the beach. Wonder up to a local restaurant with sea views and mid day brilliant specials menu. Walk around the tiny quiet streets. Swim in the very safe sea .  It’s stunning ,it’s relaxing , it’s like walking around one of those films you see and think to yourself “ why can’t we find somewhere like that to holiday “  If you go use the local shop she does a bottle of wine at £2.50 that would easily carry a £8 price ticket over here. "
Europe,Spain,Balearic Islands,Capricho,,"Free High Speed Internet (WiFi),Pool,Sauna,Bar / lounge,Bicycle rental,Table tennis,Children Activities (Kid / Family Friendly),Car hire,Public wifiPool / beach towelsIndoor poolOutdoor poolRestaurantBreakfast buffetSpaHammamMassageBaggage storageConciergeNon-smoking hotelOutdoor furnitureShared lounge / TV areaSun loungers / beach chairsSun umbrellas24-hour front deskDry cleaningLaundry service,Public wifi,Pool / beach towels,Indoor pool,Outdoor pool,Restaurant,Breakfast buffet,Spa,Hammam,Massage,Baggage storage,Concierge,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,Sun loungers / beach chairs,Sun umbrellas,24-hour front desk,Dry cleaning,Laundry service",,4.5,"Although I’ve been a follower of Trip Advisor for many years I am about to submit my first review.  Most experiences in life are never quite as good the second time around. We have just returned from our seventh stay at the Capricho, and with complete honesty we have never been disappointed, in fact each year is better than the previous.  The Capricho is situated in a quiet side street off the street which connects the Port of Cala Rajada and Cala Agulla Beach. The vast majority of visitors to Cala Rajada are German, as are the guests the Capricho. Does this matter?….. not at all. Quality/Qualitat, whatever the language the meaning is the same, and the Capricho is a quality hotel.   The Capricho’s  website gives an accurate description of the hotel. There are three room"
Europe,Germany,Baden-Wurttemberg,Haus Beer,,,,,
Europe,Germany,Baden-Wurttemberg,Rebhaus  Ferienhauser Schone Ferien,,,,,
Europe,Germany,Baden-Wurttemberg,Haus Panoramasicht,,,,,
Europe,Germany,Baden-Wurttemberg,Hotel Auerstein Heidelberg,,"Paid public parking nearby,Free High Speed Internet (WiFi),Bar / lounge,Bicycle rental,Pets Allowed ( Dog / Pet Friendly ),Fax / photocopying,Newspaper,Non-smoking hotel,Street parkingWifiRestaurantBreakfast availableBreakfast buffet,Street parking,Wifi,Restaurant,Breakfast available,Breakfast buffet",,4.0,"We stayed for one night here. The hotel is small but offers a nice and warm touch of hospitality. Our room was simply superb!! The large sofa chairs inside the room were not to be missed. They also have a small garden which was great actually. This is perfect for a long vacation, one night or probably a couple of hours of night stay wasn’t enough. On checkout the staff personally greeted us (he maybe the owner too, not sure though). We had a complimentary breakfast too which was simply fabulous. Couldn’t find a single flaw. A total thumbs up 👍 "
Europe,Germany,Baden-Wurttemberg,Haus Kosch,,,,,
Europe,Germany,Baden-Wurttemberg,Hotel-Restaurant Loewen,,"Free High Speed Internet (WiFi),Sauna,Free breakfast,Bicycle rental,Bowling,Babysitting,Children Activities (Kid / Family Friendly),Airport transportation,WifiRestaurantSpecial diet menusWine / champagneGolf courseHikingHorseback ridingMini golfTennis courtTable tennisBoard games / puzzlesMeeting roomsFax / photocopyingSpaHammamSolariumConvenience storeNon-smoking hotelLaundry serviceShoeshine,Wifi,Restaurant,Special diet menus,Wine / champagne,Golf course,Hiking,Horseback riding,Mini golf,Tennis court,Table tennis,Board games / puzzles,Meeting rooms,Fax / photocopying,Spa,Hammam,Solarium,Convenience store,Non-smoking hotel,Laundry service,Shoeshine",,,
Europe,Germany,Baden-Wurttemberg,Gasthaus zum Kreuz,,,,4.0,"Etablissement très familial tenu par un jeune couple de génération en génération, accueil sympathique, repas excellent, cuisine soignée et concoctée avec des produits de qualité, salle a manger typique, beaucoup de monde même en semaine. Chambre simple et propre, petit déjeuner copieux . Adresse a recommander"
Europe,Germany,Baden-Wurttemberg,Hotel Rose,Agoda.com,"Free parking,Free High Speed Internet (WiFi),Pool,Sauna,Bar / lounge,Bicycle rental,Bicycles available,Children Activities (Kid / Family Friendly),Car parkIndoor poolBreakfast in the roomSpecial diet menusWine / champagneVending machineGolf courseHikingPets Allowed ( Dog / Pet Friendly )Shuttle bus serviceBusiness Centre with Internet AccessMeeting roomsFax / photocopyingSpaBaggage storageCurrency exchangeGift shopNewspaperNon-smoking hotelDry cleaningLaundry serviceIroning serviceShoeshine,Car park,Indoor pool,Breakfast in the room,Special diet menus,Wine / champagne,Vending machine,Golf course,Hiking,Pets Allowed ( Dog / Pet Friendly ),Shuttle bus service,Business Centre with Internet Access,Meeting rooms,Fax / photocopying,Spa,Baggage storage,Currency exchange,Gift shop,Newspaper,Non-smoking hotel,Dry cleaning,Laundry service,Ironing service,Shoeshine",,4.0,Hotel is spotlessly clean and modern and the allocated room (comfort) was on the side of the hotel overlooking the village - church seen in close proximity!  Was this the best room given a direct booking?  The church bells rang every hour through the night and a long peel at 6am - guess to get the locals up for work! Sleep quality was poor as the bed mattress was extremely firm and being regularly woken by the bells!  The owner did put a foam mattress topper on the bed the next day but unfortunately this did not give the required support as my wife has rheumatoid arthritis and left her with back pain. First evening we had a meal on the terrace and were plagued by flies a problem we became more aware of as the bedroom window/door had a close fitting fly screen - it worked to keep
Europe,Spain,Balearic Islands,Hotel Clumba,,"Wifi,Pool,Bar / lounge,Bicycle rental,Tennis court,Babysitting,Pets Allowed ( Dog / Pet Friendly ),Shuttle bus service,Paid wifiOutdoor poolRestaurantBreakfast buffetSnack barSpecial diet menusBilliardsCar hireBusiness Centre with Internet AccessMeeting roomsFax / photocopyingBaggage storageCurrency exchangeNon-smoking hotelSun terrace24-hour front deskLaundry serviceSelf-serve laundry,Paid wifi,Outdoor pool,Restaurant,Breakfast buffet,Snack bar,Special diet menus,Billiards,Car hire,Business Centre with Internet Access,Meeting rooms,Fax / photocopying,Baggage storage,Currency exchange,Non-smoking hotel,Sun terrace,24-hour front desk,Laundry service,Self-serve laundry",,3.5,"We've just returned from staying here for 6 nights. The location of the hotel is superb, very close to the seafront promenade. Our room was clean and of a decent standard for a 3 star hotel. Any minor quirks with the hotel being far outweighed by the excellent attitude of all of the staff. A special mention goes to Eveline, Nuni and Jose, who were all great, hence the high rating provided. Cala Ratjada is predominantly a German resort which was not a problem and more Brits appear to be going each year. The are plenty of good restaurants nearby, to such a degree that you are spoilt for choice. We hired a car from the airport and the fact the hotel has no parking wasn't an issue, as there was street parking in close proximity. Pool area is good and no diffuculty in getting a"
Europe,Spain,Balearic Islands,Pins Park Apartments,,,,3.0,"Wir haben dieses Hotel Privat gebucht von ein Bekannten. Aber Preis Leistung hat sich es nicht gelohnt, nächstes mal BUchen wir Aufjedenfall ein Pauschal. Wir waren allgemein vom Hotel zufreiden es war sauber und wurde jeden Tag sauber gemacht. Wir hatten win schöen Urlaub gehabt. "
Europe,Spain,Balearic Islands,Parque Nereida,,"Paid wifi,Internet,Pool,Bar / lounge,Beach,Spa,Dry cleaning,Laundry service,Indoor poolRestaurant,Indoor pool,Restaurant",,4.0,"Went last year due to knowing the sister hotel, Bella Plays, ten minutes walk away for years, but needed two bedrooms. Some staff still there, really helpful still. This year had a medical emergency in our party and they couldn't have been more helpful or supportive, especially to my autistic son, whom it put out slightly, obviously.  They are being renovated next year and going up to 4 stat, might have to go back for a nosey! Only thing is they are German and Spanish driven so have coffee machines in the room, but if youask for a kettle you can rent it for 20 Euros which is fully refunded on return. You can also hire beach towels which they only keep 1 Euro each towards washing costs. Pool gets busy, but you can also use the Bella Plays which now has 4 pools!"
Europe,Spain,Balearic Islands,THB Cala Lliteras,,"Free High Speed Internet (WiFi),Pool,Poolside bar,Tennis court,Billiards,Airport transportation,Baggage storage,Concierge,WifiHot bathPool with viewOutdoor poolRestaurantBreakfast availableBreakfast buffetSnack barSpecial diet menusEvening entertainmentTable tennisCar hireCurrency exchangeNewspaperOutdoor furnitureShared lounge / TV areaSun loungers / beach chairsSun terraceSun umbrellas24-hour front deskDry cleaningLaundry service,Wifi,Hot bath,Pool with view,Outdoor pool,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Special diet menus,Evening entertainment,Table tennis,Car hire,Currency exchange,Newspaper,Outdoor furniture,Shared lounge / TV area,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,24-hour front desk,Dry cleaning,Laundry service",,4.0,"A pleasant enough hotel - clean and tidy and situated in a prime spot over looking the bay. We felt there was no character (felt very clinical) especially in the restaurant and bar area.   Pros  - The location  - Lovely pool and quality little gym  - Friendly staff  - The quality and variety of food   Cons  - Felt very corporate and bland throughout  - The restaurant location - 1st floor in the middle of hotel, no windows - €20 to use the room safe for the week - Too many additional charges  - No water in the room fridge  - Really poor entertainment "
Europe,Spain,Balearic Islands,Hipotels Said,,"Free internet,Pool,Fitness Centre with Gym / Workout Room,Bar / lounge,Bicycle rental,Evening entertainment,Children Activities (Kid / Family Friendly),Kids pool,WifiPool / beach towelsIndoor poolOutdoor poolHeated poolSaunaRestaurantBreakfast availableBreakfast buffetKid-friendly buffetSnack barPoolside barNightclub / DJAirport transportationCar hireSpaFoot massageFull body massageHammamHand massageHead massageManicureMassageNeck massagePedicureSalonSteam roomBaggage storageCurrency exchangeNewspaperNon-smoking hotelSun umbrellas24-hour front deskDry cleaningLaundry service,Wifi,Pool / beach towels,Indoor pool,Outdoor pool,Heated pool,Sauna,Restaurant,Breakfast available,Breakfast buffet,Kid-friendly buffet,Snack bar,Poolside bar,Nightclub / DJ,Airport transportation,Car hire,Spa,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Manicure,Massage,Neck massage,Pedicure,Salon,Steam room,Baggage storage,Currency exchange,Newspaper,Non-smoking hotel,Sun umbrellas,24-hour front desk,Dry cleaning,Laundry service",,4.5," First visited this hotel in Sept 2018 and  LOVED it, so much so we booked for the following Sept. In 2018 we found  staff were excellent in caring for the guests, the food was fabulous, hotel clean not a huge impersonal hotel which suited us. Location spot on. 2019, arrived to be greeted like old friends, everything was just as good  Then tragedy struck and one of our party collapsed and died by the poolside. Then we discovered  the staff who we thought we're totally fantastic became exceptional  an understated use of a word. Every member of staff , from the manager who  with the lifeguard fought diligently, professionally and with obvious expertise trying to save Karen, to the gardening staff  moving pool furniture. Every member of staff expressed their condolences quietly and"
Europe,Spain,Balearic Islands,Hotel Triton Beach,,"Street parking,Free High Speed Internet (WiFi),Pool,Bar / lounge,Bicycle rental,Hiking,Car hire,Fax / photocopying,WifiOutdoor poolRestaurantBreakfast availableComplimentary welcome drinkTaxi serviceAdults onlySun deckSun umbrellas24-hour front deskDry cleaningLaundry serviceIroning service,Wifi,Outdoor pool,Restaurant,Breakfast available,Complimentary welcome drink,Taxi service,Adults only,Sun deck,Sun umbrellas,24-hour front desk,Dry cleaning,Laundry service,Ironing service",,3.5,The Hotel was really nice and newly refurbished.  We have stayed in an apartment on the top floor. It was clean and really nice with a whirlpool inside the room. The view was really amazing as the room looked in the direction to the sea. Breakfast was alright and the Receptionist and the Manager Lady were really kind and very helpful. As this Hotel is an Adult only Hotel no Children were shouting around at all times which makes is really relaxing. All together I could really recommend this Hotel!
Europe,Spain,Balearic Islands,Aparthotel Club Cala Millor,,"Free High Speed Internet (WiFi),",,2.5,"Rooms good and well provided for. Service from reception and cleaning also good. Free WiFi in reception! Food not of a 4 star standard by any means. Breakfast OK. Lunch and Dinner - eat out! Pool snack bar existed, but served very little. Bar service for all inclusive closed at 11. Asked for water to take to room, but this was chargeable!!!! So bought it in town! Very focussed towards German clientel which means that after 6.30 am you find it hard to find a sunbed. Entertainment was all in German too. Certainly better 4 star accomodation along the beach front. But it was quiet."
Europe,Spain,Balearic Islands,Hostal Saturno,,"Free High Speed Internet (WiFi),Wifi,",,4.0,"I'm not sure what to say about this place. It's more of a halfway house for recently released prisoners. There were only a few rooms occupied, but for some reason the owner decided to put all the rooms next to each other  I guess it's so you don't feel lonely and participate in there conversation that you can hear as if they were standing in your room. Couldn't get to sleep until 2am because the people next door were partying."
Europe,Germany,Baden-Wurttemberg,Pension Sonne,,,,2.0,"Grote teleurstelling.  Vreselijk krakende  bedden met een zeer slechte matras en even zo slecht kussen. Beddegoed heeft zijn beste tijd wel gehad, overal gaten. Geen handdoeken op de kamer. Douchen op de gang. 1 douche voor meerdere kamers. Geen ontbijt. En geen mogelijkheid om te kunnen.  Kortom: niet doen! Er zijn betere plekken te vinden."
Europe,Germany,Baden-Wurttemberg,Pappelhof,,,,,
Europe,Germany,Baden-Wurttemberg,Pension Haus-Sommerberg,,"Free parking,Free High Speed Internet (WiFi),Special diet menus,Hiking,Mini golf,Books, DVDs, music for children,Non-smoking hotel,Outdoor furniture,Secured parkingWine / champagneSquash offsiteTable tennisTennis court offsiteSun terrace,Secured parking,Wine / champagne,Squash offsite,Table tennis,Tennis court offsite,Sun terrace",,,
Europe,Germany,Baden-Wurttemberg,Lux Ferienwohnungen,,,,,
Europe,Germany,Baden-Wurttemberg,Hotel Krone Tubingen,,"Paid public parking on-site,Free High Speed Internet (WiFi),Fitness Centre with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Business Centre with Internet Access,Meeting rooms,ParkingWifiBar / loungeRestaurantBreakfast buffetBreakfast in the roomFax / photocopyingSpaSalonBaggage storageNewspaperNon-smoking hotel24-hour front deskExpress check-in / check-outDry cleaningLaundry serviceIroning serviceShoeshine,Parking,Wifi,Bar / lounge,Restaurant,Breakfast buffet,Breakfast in the room,Fax / photocopying,Spa,Salon,Baggage storage,Newspaper,Non-smoking hotel,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine",,4.5,"Clean and quite rooms, simply decorated and light (the pillows were not so comfi). Our room was in the newerr building. Not sure how the rooms are in the old one.  Big breakfast - good selection of everything. I’d say the variety was of a 5 star hotel. Good location. "
Europe,Germany,Baden-Wurttemberg,Appartements Neckargemund,,,,,
Europe,Germany,Baden-Wurttemberg,Wellnesshotel Tanne,,"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Centre with Gym / Workout Room,Free breakfast,Bicycle rental,Bicycles available,Children's television networks,Secured parkingInternetIndoor poolHeated poolFitness classesPersonal trainerSaunaBar / loungeCoffee shopRestaurantBreakfast availableBreakfast buffetComplimentary welcome drinkSpecial diet menusWine / champagneGolf courseHikingMini golfSki rentalsSki schoolSkiingTennis courtAerobicsArchery offsiteBicycle toursBowling offsiteEvening entertainmentKaraokeTennis court offsiteWalking toursBoard games / puzzlesNightclub / DJHighchairs availablePets Allowed ( Dog / Pet Friendly )SpaBody wrapFacial treatmentsFoot bathFoot massageFull body massageHand massageHead massageManicureMassageNeck massagePedicureSteam roomSki In / Ski OutBaggage storageGift shopNewspaperNon-smoking hotelOutdoor fireplaceOutdoor furnitureSun loungers / beach chairsSun terraceSun umbrellasFirst aid kitUmbrellaDry cleaningLaundry serviceIroning service,Secured parking,Internet,Indoor pool,Heated pool,Fitness classes,Personal trainer,Sauna,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Complimentary welcome drink,Special diet menus,Wine / champagne,Golf course,Hiking,Mini golf,Ski rentals,Ski school,Skiing,Tennis court,Aerobics,Archery offsite,Bicycle tours,Bowling offsite,Evening entertainment,Karaoke,Tennis court offsite,Walking tours,Board games / puzzles,Nightclub / DJ,Highchairs available,Pets Allowed ( Dog / Pet Friendly ),Spa,Body wrap,Facial treatments,Foot bath,Foot massage,Full body massage,Hand massage,Head massage,Manicure,Massage,Neck massage,Pedicure,Steam room,Ski In / Ski Out,Baggage storage,Gift shop,Newspaper,Non-smoking hotel,Outdoor fireplace,Outdoor furniture,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,First aid kit,Umbrella,Dry cleaning,Laundry service,Ironing service",,4.5,It is sometimes striking how the relation between price (106 euro pp including breakfast) and service is not really existing. We slept two nights here and we found different things that we think are to be pointed out: 1. The bedroom is ok but nothing special. Clean but with a few spiders here and there. The bed for additional guests left in the corridor of the rooms is no good taste. 2. The breakfast is not that great as it is described in other reviews: moreover the responsible people should check the dishes that are offered to guests for picking food and stuff: they are DIRTY! Full with crusts that you can feel by touching with fingers. It is DISGUSTING to then use them for your own food. 3. The food in the evening a la carte was no particular experience. Basic level as per
Europe,Germany,Baden-Wurttemberg,Sulzbacher Hof Hotelbetriebs GmbH,Booking.com,"Bar / lounge,Restaurant,Children Activities (Kid / Family Friendly),",,,
Europe,Germany,Bavaria,Kellermanns-Apartment,,,,5.0,"Estuvimos seis noches muy cómodos. Se aparca bien, tiene todo lo que necesitas cerca, como supermercados y el apartamento es amplio, limpio y agradable, y Bárbara, la dueña, amable. Aunque al principio y sobre todo de noche da la sensación de estar en una zona apartada, por el día resulta agradable y se puede ir andando al centro de la ciudad. Además, su ubicación en Baviera, permite visitar muchos sitios en pocos días. Muy recomendable."
Europe,Germany,Baden-Wurttemberg,Ferienwohnung Schnell Bad Saulgau,,,,,
Europe,Germany,Baden-Wurttemberg,Hotel Landgasthof Ratz,,"Free parking,Wifi,Paid wifi,Hot bath,Sauna,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Non-smoking hotel,",,4.0,"( - )  Room soundproofing - A family woke an hour and a half before we were supposed to, and we couldn't get any more sleep because it was like they were inside our room talking and making noise :p  ( + )  Amazing staff - We arrived very late (23:15) at Baden-Baden airport, but the owner was still waiting for us. After checking us in and showing us our room he pointed us to some restaurants near by where we could grab something to eat. The next morning we got the chance to meet the other owner and the rest of the staff during breakfast, who were also very kind and thoughtful.  Very good breakfast - One of the best and more complete breakfast we have ever had! And always with a smile."
